"","beta","HR (95% CI for HR)","wald.test","p.value"
"G10694","-0.26","0.77 (0.3-2)","0.29","0.59"
"G10528","0.86","2.4 (1-5.5)","4","0.047"
"G26792","0.86","2.4 (1-5.5)","4","0.047"
"G692201","0.86","2.4 (1-5.5)","4","0.047"
"G692213","0.86","2.4 (1-5.5)","4","0.047"
"G100302138","0.86","2.4 (1-5.5)","4","0.047"
"G5689","0.38","1.5 (0.48-4.4)","0.45","0.5"
"G10575","0.53","1.7 (0.52-5.5)","0.77","0.38"
"G2034","-1","0.36 (0.2-0.64)","12","0.00054"
"G3301","1.2","3.2 (1.2-8.2)","5.8","0.016"
"G5710","0.95","2.6 (1.3-5.2)","7.3","0.007"
"G7385","-0.63","0.54 (0.19-1.5)","1.4","0.24"
"G1152","-0.23","0.79 (0.46-1.4)","0.69","0.4"
"G389","1.2","3.4 (1.7-6.8)","11","0.00078"
"G5223","1.9","6.7 (2.1-21)","10","0.0015"
"G6772","0.67","2 (1.3-3)","9.5","0.002"
"G9349","0.3","1.3 (0.54-3.4)","0.4","0.53"
"G619505","-0.14","0.87 (0.32-2.4)","0.08","0.78"
"G6745","0.47","1.6 (0.52-4.9)","0.68","0.41"
"G6434","-0.19","0.83 (0.24-2.8)","0.09","0.77"
"G3068","0.56","1.8 (0.95-3.2)","3.2","0.074"
"G10724","-0.85","0.43 (0.16-1.2)","2.8","0.095"
"G4074","0.99","2.7 (1.3-5.7)","7","0.0082"
"G1911","-0.94","0.39 (0.13-1.1)","2.9","0.087"
"G9403","-0.92","0.4 (0.13-1.2)","2.7","0.099"
"G191","0.83","2.3 (1.3-4.1)","7.6","0.0058"
"G3133","0.31","1.4 (0.52-3.6)","0.41","0.52"
"G6181","-0.35","0.7 (0.34-1.5)","0.9","0.34"
"G619565","0.064","1.1 (0.42-2.7)","0.02","0.89"
"G7203","1.1","3.1 (1.6-6)","11","8e-04"
"G5496","1.3","3.7 (1.9-7.3)","15","1e-04"
"G3895","-1.5","0.22 (0.068-0.74)","6","0.014"
"G8407","0.55","1.7 (0.86-3.5)","2.4","0.12"
"G6734","1.4","4 (1.6-10)","8.6","0.0034"
"G1912","-0.066","0.94 (0.55-1.6)","0.06","0.81"
"G3959","0.51","1.7 (0.98-2.8)","3.6","0.058"
"G6520","0.69","2 (1.2-3.3)","7.3","0.0068"
"G1337","1.3","3.5 (1.8-7)","13","0.00029"
"G6228","0.038","1 (0.38-2.8)","0.01","0.94"
"G51552","-0.46","0.63 (0.26-1.5)","1","0.31"
"G10972","-0.78","0.46 (0.15-1.4)","2","0.16"
"G7414","-0.16","0.85 (0.51-1.4)","0.37","0.54"
"G10540","-0.42","0.66 (0.32-1.4)","1.3","0.26"
"G6191","3.6","38 (8.7-170)","23","1.4e-06"
"G7913","1.2","3.4 (1.1-11)","4.2","0.041"
"G811","0.011","1 (0.27-3.8)","0","0.99"
"G6132","1.5","4.5 (1.4-15)","6.2","0.013"
"G6083","-0.62","0.54 (0.19-1.5)","1.3","0.25"
"G6125","-0.62","0.54 (0.19-1.5)","1.3","0.25"
"G3281","0.22","1.3 (0.53-3)","0.26","0.61"
"G3150","0.5","1.7 (0.67-4.1)","1.2","0.28"
"G101927733","0.74","2.1 (0.44-10)","0.85","0.36"
"G22872","1.6","5 (1.1-23)","4.4","0.037"
"G2746","0.18","1.2 (0.43-3.3)","0.12","0.73"
"G8079","0.91","2.5 (1.3-4.7)","7.7","0.0054"
"G6224","0.16","1.2 (0.34-4.1)","0.06","0.8"
"G26795","0.16","1.2 (0.34-4.1)","0.06","0.8"
"G10552","0.31","1.4 (0.76-2.4)","1","0.31"
"G894","-0.084","0.92 (0.54-1.6)","0.09","0.76"
"G527","1.3","3.6 (1.6-7.9)","10","0.0015"
"G10989","1.3","3.6 (0.93-14)","3.4","0.064"
"G6749","1.2","3.5 (1.6-7.6)","9.6","0.002"
"G6386","1.4","4 (1.2-13)","5","0.026"
"G22928","0.58","1.8 (0.91-3.5)","2.8","0.093"
"G6160","-0.89","0.41 (0.17-0.99)","3.9","0.048"
"G3983","-0.77","0.46 (0.29-0.74)","10","0.0013"
"G226","1.4","4.1 (2.2-7.8)","19","1.5e-05"
"G5479","1.5","4.4 (2-9.8)","13","0.00032"
"G27230","-1.4","0.25 (0.084-0.73)","6.4","0.012"
"G101928061","-1.5","0.22 (0.073-0.67)","7.2","0.0074"
"G59","-0.13","0.88 (0.52-1.5)","0.24","0.62"
"G5538","0.082","1.1 (0.43-2.8)","0.03","0.86"
"G8887","0.018","1 (0.41-2.5)","0","0.97"
"G4190","2","7.5 (2.4-23)","12","0.00052"
"G309","-0.24","0.79 (0.39-1.6)","0.44","0.51"
"G966","0.16","1.2 (0.57-2.4)","0.19","0.66"
"G710","0.42","1.5 (0.84-2.8)","1.9","0.17"
"G10197","2","7.5 (3.5-16)","28","1.4e-07"
"G3091","2.4","11 (3.1-36)","14","0.00017"
"G10155","1.2","3.2 (1.8-5.6)","16","6.8e-05"
"G9784","1.6","4.9 (1.4-17)","6","0.014"
"G10527","0.16","1.2 (0.42-3.3)","0.09","0.76"
"G10096","1.3","3.9 (0.8-19)","2.8","0.092"
"G5936","-0.07","0.93 (0.43-2)","0.03","0.86"
"G100526737","0.078","1.1 (0.58-2)","0.06","0.81"
"G10970","-0.047","0.95 (0.51-1.8)","0.02","0.88"
"G16","0.67","1.9 (1-3.7)","4.2","0.041"
"G7335","1.4","4.2 (1.4-13)","6.4","0.012"
"G7336","1.3","3.7 (0.99-14)","3.8","0.053"
"G387521","1.4","4.2 (1.4-13)","6.4","0.012"
"G387522","1.4","4.2 (1.4-13)","6.4","0.012"
"G6748","1.4","3.9 (1.9-8)","14","0.00015"
"G928","-1.1","0.32 (0.18-0.58)","14","0.00018"
"G7001","0.5","1.7 (0.61-4.5)","0.97","0.32"
"G3032","0.85","2.3 (0.52-11)","1.2","0.27"
"G10628","0.37","1.4 (0.82-2.5)","1.6","0.2"
"G6184","0.73","2.1 (1.1-3.9)","5.1","0.023"
"G301","0.0079","1 (0.67-1.5)","0","0.97"
"G10606","0.62","1.9 (1.1-3.1)","5.2","0.022"
"G3728","0.49","1.6 (1.2-2.2)","9.8","0.0018"
"G1964","-0.43","0.65 (0.27-1.6)","0.9","0.34"
"G7533","0.63","1.9 (0.92-3.8)","3","0.082"
"G11034","-0.52","0.59 (0.31-1.1)","2.6","0.11"
"G6879","0.46","1.6 (0.49-5)","0.59","0.44"
"G9669","0.7","2 (0.73-5.6)","1.8","0.17"
"G4267","1.5","4.3 (2.3-8.4)","19","1e-05"
"G3945","1.6","4.9 (1.8-14)","9.7","0.0019"
"G3187","-0.92","0.4 (0.15-1.1)","3.3","0.069"
"G10904","-0.63","0.53 (0.23-1.2)","2.3","0.13"
"G6175","4.8","120 (22-670)","30","4.3e-08"
"G120","0.46","1.6 (0.83-3)","2","0.16"
"G3033","-0.7","0.49 (0.2-1.2)","2.4","0.12"
"G5214","0.58","1.8 (1.1-2.9)","5.5","0.019"
"G8125","-0.27","0.76 (0.4-1.4)","0.72","0.4"
"G5886","1.3","3.8 (1.3-12)","5.5","0.019"
"G2771","1.5","4.4 (2-10)","13","0.00034"
"G1843","-0.66","0.51 (0.34-0.79)","9.3","0.0023"
"G7052","0.017","1 (0.58-1.8)","0","0.95"
"G150786","-0.5","0.61 (0.24-1.5)","1.1","0.29"
"G6222","4.5","92 (20-430)","33","7.7e-09"
"G23646","0.62","1.9 (1.2-2.8)","8.6","0.0034"
"G9491","0.73","2.1 (0.76-5.6)","2","0.15"
"G10949","-0.7","0.49 (0.19-1.3)","2","0.15"
"G2804","0.83","2.3 (0.75-7)","2.1","0.14"
"G10398","0.053","1.1 (0.61-1.8)","0.04","0.85"
"G2040","-0.02","0.98 (0.58-1.7)","0.01","0.94"
"G5954","0.73","2.1 (1.1-4)","4.5","0.034"
"G8761","0.16","1.2 (0.58-2.4)","0.21","0.65"
"G100996696","0.16","1.2 (0.58-2.4)","0.21","0.65"
"G2969","-1.6","0.2 (0.06-0.64)","7.2","0.0073"
"G2970","-2.1","0.12 (0.033-0.47)","9.6","0.0019"
"G100093631","-2.1","0.12 (0.033-0.47)","9.6","0.0019"
"G1537","0.39","1.5 (0.9-2.4)","2.3","0.13"
"G5701","0.23","1.3 (0.4-4)","0.15","0.69"
"G23451","-1.7","0.19 (0.035-1.1)","3.6","0.059"
"G6599","0.68","2 (0.67-5.9)","1.5","0.22"
"G4809","0.38","1.5 (0.58-3.7)","0.65","0.42"
"G9375","0.74","2.1 (0.94-4.7)","3.2","0.072"
"G9144","0.21","1.2 (0.55-2.8)","0.26","0.61"
"G1639","0.78","2.2 (0.79-6)","2.2","0.13"
"G9774","-1.5","0.22 (0.058-0.84)","4.9","0.026"
"G6651","-2.3","0.098 (0.032-0.3)","17","4.5e-05"
"G5829","-0.0034","1 (0.59-1.7)","0","0.99"
"G3838","0.99","2.7 (1.6-4.6)","13","0.00028"
"G526","0.83","2.3 (1.3-4.2)","7.5","0.0062"
"G5931","1.2","3.5 (1.3-9.3)","6.1","0.014"
"G6389","-0.22","0.81 (0.37-1.8)","0.29","0.59"
"G6235","-0.74","0.48 (0.15-1.5)","1.7","0.2"
"G1611","0.52","1.7 (0.96-2.9)","3.3","0.071"
"G378","2","7.7 (2.4-24)","12","5e-04"
"G9276","0.095","1.1 (0.65-1.9)","0.12","0.73"
"G8239","-0.24","0.78 (0.29-2.1)","0.23","0.63"
"G5211","2.3","10 (3.9-27)","22","2.7e-06"
"G100288142","-0.41","0.67 (0.22-2)","0.52","0.47"
"G101060226","-1.2","0.29 (0.1-0.84)","5.2","0.022"
"G101929780","-1.1","0.32 (0.12-0.86)","5.1","0.024"
"G3956","0.76","2.1 (1.4-3.3)","11","0.00076"
"G2879","0.4","1.5 (0.73-3)","1.2","0.27"
"G7057","-0.087","0.92 (0.63-1.3)","0.2","0.65"
"G1434","0.35","1.4 (0.6-3.3)","0.65","0.42"
"G7284","-0.56","0.57 (0.24-1.4)","1.6","0.21"
"G5688","0.59","1.8 (0.9-3.6)","2.8","0.096"
"G5425","0.62","1.9 (0.99-3.5)","3.8","0.052"
"G1363","0.027","1 (0.72-1.5)","0.02","0.88"
"G1351","1.1","2.9 (1.5-5.8)","9.2","0.0024"
"G10857","0.8","2.2 (1.2-4.3)","5.7","0.017"
"G1984","1.1","3 (1.2-7.4)","5.7","0.017"
"G3693","0.83","2.3 (1-5.2)","3.9","0.048"
"G4245","1.2","3.2 (1.4-7.2)","7.7","0.0055"
"G47","1.1","2.9 (1.3-6.7)","6.4","0.012"
"G6432","-1.7","0.18 (0.067-0.49)","11","0.00073"
"G999","0.58","1.8 (0.99-3.2)","3.8","0.053"
"G3188","-0.29","0.74 (0.29-1.9)","0.38","0.54"
"G100529097","0.81","2.3 (0.97-5.2)","3.6","0.058"
"G9867","-1.9","0.15 (0.07-0.31)","26","3.8e-07"
"G1350","0.75","2.1 (0.77-5.8)","2.1","0.14"
"G1892","1.2","3.2 (1.3-7.7)","6.8","0.0091"
"G5355","0.86","2.4 (1.4-3.9)","12","6e-04"
"G3115","-0.23","0.79 (0.44-1.4)","0.57","0.45"
"G6741","0.2","1.2 (0.47-3.2)","0.17","0.68"
"G5878","1.7","5.6 (2.3-14)","14","0.00018"
"G1965","0.94","2.6 (0.99-6.6)","3.8","0.051"
"G10456","-0.84","0.43 (0.18-1)","3.6","0.056"
"G7078","0.27","1.3 (0.86-2)","1.6","0.21"
"G4836","1.2","3.2 (1.2-8.6)","5.2","0.022"
"G8531","0.6","1.8 (0.9-3.7)","2.8","0.094"
"G3490","-0.52","0.59 (0.34-1)","3.4","0.067"
"G9698","-0.16","0.85 (0.15-4.9)","0.03","0.85"
"G396","0.78","2.2 (1.2-4)","6.4","0.011"
"G8553","0.54","1.7 (1.1-2.6)","6.3","0.012"
"G10726","0.21","1.2 (0.7-2.1)","0.52","0.47"
"G54386","0.23","1.3 (0.52-3.1)","0.26","0.61"
"G51075","-0.33","0.72 (0.31-1.7)","0.59","0.44"
"G372","2","7.3 (2.4-22)","12","0.00047"
"G10054","-0.026","0.97 (0.31-3.1)","0","0.96"
"G2773","2.6","13 (4.8-37)","25","6.6e-07"
"G1108","1.1","3 (0.91-9.6)","3.3","0.07"
"G5654","0.63","1.9 (1.1-3.2)","5.2","0.023"
"G4043","-1.4","0.25 (0.1-0.61)","9.3","0.0023"
"G3710","-0.22","0.81 (0.42-1.6)","0.42","0.52"
"G5306","0.14","1.1 (0.4-3.3)","0.07","0.8"
"G8140","0.21","1.2 (0.86-1.8)","1.3","0.25"
"G262","-0.47","0.63 (0.27-1.5)","1.2","0.28"
"G5707","1.4","3.9 (2-7.7)","16","5.7e-05"
"G8804","0.39","1.5 (0.49-4.5)","0.48","0.49"
"G1476","0.59","1.8 (1-3.1)","4.3","0.038"
"G5111","0.97","2.6 (1.5-4.6)","12","0.00051"
"G6238","-0.36","0.7 (0.31-1.6)","0.75","0.39"
"G7126","1.5","4.5 (1.9-10)","12","0.00045"
"G3065","0.81","2.2 (1.1-4.6)","4.7","0.03"
"G5641","0.34","1.4 (0.7-2.8)","0.9","0.34"
"G5510","1.1","2.9 (1.2-7)","5.9","0.015"
"G5358","0.089","1.1 (0.41-2.9)","0.03","0.86"
"G10961","0.72","2.1 (1.2-3.6)","6.7","0.0099"
"G6122","2.7","15 (3.1-70)","11","0.00077"
"G116936","2.6","14 (2.9-65)","11","0.001"
"G116938","2.6","14 (2.9-65)","11","0.001"
"G1488","0.086","1.1 (0.4-3)","0.03","0.87"
"G6625","0.45","1.6 (0.8-3.1)","1.7","0.19"
"G5887","0.64","1.9 (0.58-6.2)","1.1","0.29"
"G10250","-0.16","0.85 (0.24-3)","0.06","0.8"
"G4714","0.42","1.5 (0.4-5.8)","0.38","0.54"
"G10425","-2.2","0.11 (0.031-0.43)","10","0.0012"
"G2023","0.13","1.1 (0.71-1.8)","0.29","0.59"
"G5719","1.5","4.5 (1.7-12)","8.8","0.003"
"G3611","0.45","1.6 (0.7-3.5)","1.2","0.27"
"G7832","-0.07","0.93 (0.62-1.4)","0.11","0.73"
"G9789","1.2","3.5 (1-11)","4.1","0.043"
"G1653","2.1","7.9 (2.3-27)","11","0.00094"
"G481","0.28","1.3 (0.61-2.9)","0.51","0.48"
"G55611","1.5","4.7 (1.8-12)","10","0.0015"
"G101927673","1.5","4.7 (1.8-12)","10","0.0015"
"G6721","-0.6","0.55 (0.22-1.4)","1.6","0.2"
"G6513","0.52","1.7 (1.3-2.2)","15","0.00013"
"G5315","1.3","3.5 (1.9-6.4)","17","4.2e-05"
"G5704","0.95","2.6 (1.6-4.2)","15","0.00013"
"G10423","0.66","1.9 (0.72-5.2)","1.7","0.19"
"G7917","1.6","4.9 (2.1-11)","14","0.00022"
"G9167","3.1","22 (5.4-88)","19","1.4e-05"
"G6217","0.7","2 (0.61-6.7)","1.3","0.25"
"G6856","-0.014","0.99 (0.44-2.2)","0","0.97"
"G633","0.12","1.1 (0.68-1.9)","0.22","0.64"
"G6897","0.4","1.5 (0.88-2.6)","2.2","0.14"
"G11316","0.77","2.2 (1.2-3.9)","6.5","0.011"
"G5702","1.6","4.8 (2.3-10)","17","3.9e-05"
"G4831","0.94","2.6 (1.4-4.7)","9","0.0027"
"G654364","0.94","2.6 (1.4-4.7)","9","0.0027"
"G23386","0.065","1.1 (0.56-2)","0.04","0.84"
"G22913","1.2","3.3 (1.3-8)","6.8","0.0092"
"G231","0.56","1.7 (1.1-2.8)","5.7","0.017"
"G6726","2.7","15 (3.3-64)","13","0.00038"
"G5686","0.2","1.2 (0.58-2.6)","0.28","0.6"
"G2224","0.36","1.4 (0.8-2.6)","1.5","0.22"
"G5869","0.25","1.3 (0.61-2.7)","0.44","0.51"
"G3182","2.1","7.9 (3.4-18)","24","1.1e-06"
"G11047","0.78","2.2 (1.2-3.9)","7.1","0.0078"
"G22906","0.0079","1 (0.53-1.9)","0","0.98"
"G327","-0.4","0.67 (0.29-1.6)","0.87","0.35"
"G23608","-1.4","0.25 (0.078-0.79)","5.5","0.019"
"G6382","0.23","1.3 (0.78-2.1)","0.9","0.34"
"G3491","-0.29","0.75 (0.53-1.1)","2.7","0.1"
"G23478","2.3","10 (2.9-36)","13","0.00035"
"G7153","0.39","1.5 (1.2-1.9)","11","0.0011"
"G5478","1.8","6.1 (1.6-23)","7.1","0.0077"
"G101060363","1.5","4.5 (1.2-17)","5","0.026"
"G26118","-0.22","0.81 (0.45-1.4)","0.52","0.47"
"G55233","1.8","5.9 (2.3-15)","14","0.00018"
"G5621","0.54","1.7 (0.63-4.7)","1.1","0.29"
"G307","0.1","1.1 (0.61-2)","0.11","0.74"
"G9775","1.1","2.9 (1.6-5.5)","11","0.00082"
"G4698","-1.3","0.27 (0.16-0.46)","25","6.9e-07"
"G10541","1.8","6.1 (1.9-20)","9","0.0027"
"G55752","0.15","1.2 (0.58-2.3)","0.19","0.67"
"G9315","-0.44","0.64 (0.38-1.1)","2.8","0.097"
"G6451","0.5","1.7 (0.52-5.3)","0.72","0.4"
"G2026","0.71","2 (1.4-3)","12","0.00054"
"G10494","-0.46","0.63 (0.2-2)","0.58","0.45"
"G10581","0.92","2.5 (1.5-4.2)","12","0.00046"
"G5683","0.79","2.2 (0.98-5)","3.6","0.057"
"G103910","2","7.6 (2-29)","8.9","0.0028"
"G506","1.6","4.8 (2.1-11)","13","0.00026"
"G10969","0.8","2.2 (0.97-5.1)","3.6","0.059"
"G102465439","0.8","2.2 (0.97-5.1)","3.6","0.059"
"G908","0.66","1.9 (1-3.8)","3.8","0.052"
"G2114","-0.93","0.39 (0.24-0.65)","13","3e-04"
"G5917","0.33","1.4 (0.76-2.6)","1.1","0.29"
"G6778","0.24","1.3 (0.64-2.5)","0.46","0.5"
"G9341","0.33","1.4 (0.48-4)","0.37","0.54"
"G2971","0.53","1.7 (0.72-4.1)","1.5","0.23"
"G6342","0.2","1.2 (0.36-4.1)","0.1","0.75"
"G8507","-0.1","0.9 (0.51-1.6)","0.12","0.73"
"G6631","0.68","2 (1-3.8)","4","0.045"
"G7322","0.046","1 (0.3-3.7)","0.01","0.94"
"G79602","0.52","1.7 (0.72-3.9)","1.4","0.23"
"G9380","1.5","4.4 (2.1-9.3)","16","7.8e-05"
"G2878","-0.27","0.76 (0.56-1)","3","0.082"
"G9368","0.67","2 (1.3-2.8)","13","4e-04"
"G2319","0.31","1.4 (0.63-2.9)","0.62","0.43"
"G10730","0.65","1.9 (0.73-5)","1.8","0.19"
"G11176","0.29","1.3 (0.63-2.8)","0.56","0.45"
"G10291","-0.5","0.61 (0.17-2.2)","0.57","0.45"
"G1315","-0.53","0.59 (0.19-1.8)","0.85","0.36"
"G1471","0.53","1.7 (0.89-3.2)","2.6","0.11"
"G79073","-0.75","0.47 (0.18-1.3)","2.2","0.13"
"G10625","-0.031","0.97 (0.37-2.5)","0","0.95"
"G4947","0.43","1.5 (0.47-5.1)","0.5","0.48"
"G310","-0.82","0.44 (0.11-1.7)","1.4","0.23"
"G678","0.32","1.4 (0.69-2.8)","0.85","0.36"
"G8452","-0.91","0.4 (0.18-0.91)","4.8","0.029"
"G5339","0.79","2.2 (1.4-3.4)","12","0.00045"
"G5516","-0.47","0.63 (0.39-1)","3.6","0.056"
"G3185","1.3","3.7 (1.8-7.6)","13","0.00036"
"G9898","-0.23","0.8 (0.27-2.3)","0.17","0.68"
"G7165","0.4","1.5 (0.78-2.9)","1.5","0.22"
"G27101","0.55","1.7 (0.66-4.6)","1.2","0.26"
"G1665","1","2.8 (0.68-11)","2","0.15"
"G5709","0.35","1.4 (1-2)","4.4","0.036"
"G3678","0.39","1.5 (0.94-2.3)","2.9","0.088"
"G1460","-0.32","0.73 (0.24-2.2)","0.3","0.58"
"G10131","-0.41","0.66 (0.41-1.1)","2.9","0.086"
"G3482","0.42","1.5 (0.6-3.8)","0.78","0.38"
"G10181","-1.3","0.26 (0.12-0.59)","10","0.0012"
"G6449","1.1","2.9 (1.2-6.6)","6.1","0.014"
"G26227","0.69","2 (1.1-3.7)","5.1","0.024"
"G23471","0.71","2 (0.96-4.3)","3.5","0.063"
"G5691","1.4","4.2 (2.1-8.5)","16","6.8e-05"
"G156","1.4","4 (1.8-9)","12","0.00064"
"G4259","-0.12","0.88 (0.31-2.5)","0.05","0.82"
"G10980","1.2","3.4 (1.5-7.8)","8.4","0.0038"
"G6173","-0.69","0.5 (0.21-1.2)","2.4","0.12"
"G5500","-0.75","0.47 (0.1-2.2)","0.93","0.33"
"G55041","-0.27","0.76 (0.38-1.5)","0.57","0.45"
"G26020","1.1","2.9 (1.3-6.6)","6.8","0.0094"
"G2937","0.71","2 (1.1-3.9)","4.5","0.034"
"G79084","0.21","1.2 (0.57-2.7)","0.29","0.59"
"G10437","0.67","2 (1.2-3.2)","6.8","0.009"
"G8451","-0.33","0.72 (0.35-1.5)","0.82","0.37"
"G217","-0.53","0.59 (0.37-0.94)","5","0.026"
"G6414","-0.75","0.47 (0.32-0.69)","15","1e-04"
"G6168","-1.9","0.15 (0.045-0.47)","10","0.0014"
"G1809","0.13","1.1 (0.8-1.6)","0.54","0.46"
"G847","-0.44","0.65 (0.39-1.1)","2.7","0.099"
"G9791","0.69","2 (0.86-4.6)","2.6","0.11"
"G7265","0.11","1.1 (0.46-2.7)","0.06","0.8"
"G1977","-1.4","0.24 (0.08-0.74)","6.2","0.013"
"G1293","1.7","5.6 (2.3-14)","14","0.00022"
"G8729","-0.4","0.67 (0.19-2.4)","0.36","0.55"
"G9416","1.2","3.2 (1.7-5.9)","13","0.00027"
"G1340","1.2","3.3 (1.8-5.8)","16","6.4e-05"
"G10159","0.55","1.7 (0.71-4.3)","1.4","0.23"
"G1266","-0.46","0.63 (0.36-1.1)","2.7","0.1"
"G9520","1.7","5.5 (2.1-14)","12","0.00042"
"G9184","0.72","2.1 (0.7-6)","1.7","0.19"
"G9261","0.012","1 (0.41-2.5)","0","0.98"
"G9805","0.23","1.3 (0.82-2)","1.1","0.29"
"G6888","1","2.8 (1.4-5.7)","8.1","0.0045"
"G3725","-0.54","0.58 (0.35-0.98)","4.2","0.04"
"G1728","0.38","1.5 (1.1-1.9)","8.5","0.0036"
"G6464","0.063","1.1 (0.44-2.6)","0.02","0.89"
"G8878","0.2","1.2 (0.57-2.6)","0.27","0.6"
"G7411","0.49","1.6 (0.8-3.4)","1.8","0.18"
"G3726","-0.03","0.97 (0.67-1.4)","0.03","0.87"
"G3675","0.44","1.6 (1-2.4)","4.4","0.035"
"G4141","0.65","1.9 (0.85-4.3)","2.4","0.12"
"G102465454","0.65","1.9 (0.85-4.3)","2.4","0.12"
"G6240","1.5","4.5 (2.1-9.6)","15","0.00011"
"G1736","0.87","2.4 (1.4-4.1)","9.6","0.0019"
"G677835","0.87","2.4 (1.4-4.1)","9.6","0.0019"
"G100847052","0.87","2.4 (1.4-4.1)","9.6","0.0019"
"G6829","1.1","2.9 (1.1-8.1)","4.3","0.038"
"G5834","0.17","1.2 (0.78-1.8)","0.63","0.43"
"G5768","-0.23","0.79 (0.51-1.2)","1.1","0.29"
"G6827","2","7.3 (2.2-24)","11","0.0011"
"G5955","-0.26","0.77 (0.31-2)","0.3","0.59"
"G1075","0.64","1.9 (0.98-3.7)","3.6","0.059"
"G10105","0.8","2.2 (1.5-3.3)","17","4.7e-05"
"G10598","1.4","3.9 (1.6-9.9)","8.5","0.0036"
"G6171","4","52 (12-240)","26","2.7e-07"
"G23369","1.1","3.1 (1.4-6.9)","8","0.0048"
"G7874","-1.1","0.33 (0.16-0.67)","9.3","0.0022"
"G2926","-0.23","0.8 (0.2-3.2)","0.1","0.75"
"G4792","0.21","1.2 (0.66-2.3)","0.42","0.52"
"G7247","0.81","2.2 (0.63-8)","1.5","0.21"
"G3912","0.26","1.3 (0.74-2.3)","0.81","0.37"
"G7045","0.55","1.7 (1.1-2.7)","5.9","0.015"
"G5201","0.17","1.2 (0.61-2.3)","0.25","0.62"
"G3487","-0.14","0.87 (0.46-1.7)","0.18","0.67"
"G3420","0.13","1.1 (0.43-3)","0.07","0.8"
"G1999","0.0056","1 (0.65-1.5)","0","0.98"
"G14","1.2","3.4 (1.6-7.1)","11","0.001"
"G9868","1.3","3.5 (1.7-7.2)","12","0.00048"
"G6723","0.66","1.9 (0.96-3.9)","3.4","0.066"
"G22916","0.88","2.4 (1.2-5)","5.5","0.019"
"G10951","1.2","3.4 (1.3-8.8)","6.1","0.013"
"G7334","1.6","5.1 (1.8-14)","9.5","0.002"
"G347","-0.011","0.99 (0.82-1.2)","0.01","0.91"
"G381","1","2.8 (1.5-5.4)","9.5","0.002"
"G9296","1.5","4.3 (2-9.5)","13","3e-04"
"G101927180","1.5","4.3 (2-9.5)","13","3e-04"
"G6117","-1.1","0.32 (0.12-0.85)","5.2","0.023"
"G1973","-0.22","0.8 (0.24-2.6)","0.14","0.71"
"G26781","0.00041","1 (0.34-2.9)","0","1"
"G652965","-0.22","0.8 (0.24-2.6)","0.14","0.71"
"G652966","-0.22","0.8 (0.24-2.6)","0.14","0.71"
"G100533955","1.1","2.9 (0.95-8.7)","3.5","0.063"
"G101928634","1.1","3 (1.2-7.5)","5.9","0.015"
"G7538","-0.27","0.76 (0.58-1)","3.8","0.052"
"G5684","-0.51","0.6 (0.28-1.3)","1.8","0.18"
"G5412","-0.93","0.39 (0.21-0.75)","7.9","0.0048"
"G1845","1","2.8 (1.3-6.1)","6.7","0.0094"
"G2273","-0.5","0.61 (0.46-0.8)","13","0.00039"
"G10467","0.94","2.6 (1.2-5.6)","5.6","0.018"
"G56681","2","7 (2.9-17)","18","2.1e-05"
"G8106","0.24","1.3 (0.35-4.6)","0.13","0.71"
"G100529063","0.78","2.2 (0.64-7.4)","1.5","0.22"
"G9320","-0.78","0.46 (0.12-1.7)","1.3","0.25"
"G10765","0.11","1.1 (0.42-3)","0.05","0.82"
"G71","4.6","98 (16-600)","24","7.6e-07"
"G3916","-0.1","0.9 (0.38-2.1)","0.06","0.81"
"G2992","1.7","5.3 (2.4-12)","16","5.6e-05"
"G4172","0.54","1.7 (0.98-3)","3.6","0.06"
"G6844","-1.9","0.15 (0.059-0.4)","14","0.00014"
"G8480","0.79","2.2 (1.1-4.3)","5.4","0.021"
"G25932","0.89","2.4 (1.1-5.3)","5.1","0.024"
"G22883","0.21","1.2 (0.56-2.7)","0.26","0.61"
"G6652","0.45","1.6 (0.95-2.6)","3.1","0.078"
"G6624","0.34","1.4 (0.78-2.5)","1.3","0.26"
"G3398","-0.5","0.61 (0.34-1.1)","2.9","0.088"
"G2803","-1.4","0.26 (0.11-0.59)","10","0.0014"
"G27089","0.5","1.7 (0.77-3.5)","1.7","0.2"
"G25813","1.7","5.2 (1.8-15)","9.2","0.0025"
"G1635","0.37","1.5 (0.55-3.8)","0.58","0.45"
"G2107","0.21","1.2 (0.49-3.1)","0.2","0.66"
"G22938","-1.2","0.31 (0.083-1.2)","2.9","0.088"
"G2720","0.91","2.5 (1.2-5)","6.6","0.01"
"G643853","0.91","2.5 (1.2-5)","6.6","0.01"
"G4830","0.84","2.3 (1.5-3.4)","17","4e-05"
"G5420","-0.14","0.87 (0.44-1.7)","0.16","0.69"
"G2195","0.33","1.4 (0.74-2.6)","1.1","0.3"
"G56255","-0.53","0.59 (0.33-1)","3.3","0.071"
"G10483","0.078","1.1 (0.51-2.3)","0.04","0.84"
"G10212","0.92","2.5 (1.4-4.4)","10","0.0014"
"G6421","-1.9","0.15 (0.049-0.46)","11","0.00084"
"G9352","-1.2","0.3 (0.14-0.63)","10","0.0014"
"G11188","-1","0.36 (0.17-0.76)","7","0.0079"
"G8667","-0.14","0.87 (0.53-1.4)","0.29","0.59"
"G55854","-0.3","0.74 (0.38-1.4)","0.81","0.37"
