"","beta","HR (95% CI for HR)","wald.test","p.value"
"G100101116","2","7.4 (1-55)","3.8","0.05"
"G115653","0.31","1.4 (0.52-3.6)","0.4","0.53"
"G26664","0.18","1.2 (0.12-12)","0.02","0.87"
"G58510","0.51","1.7 (0.32-8.6)","0.36","0.55"
"G10821","0.42","1.5 (0.68-3.4)","1.1","0.3"
"G3816","-0.26","0.77 (0.21-2.9)","0.15","0.7"
"G100129271","0.45","1.6 (0.17-15)","0.15","0.69"
"G6872","-1","0.37 (0.065-2.1)","1.3","0.26"
"G253512","-1.9","0.15 (0.0098-2.2)","1.9","0.17"
"G388699","-0.53","0.59 (0.029-12)","0.12","0.73"
"G139538","0.46","1.6 (0.063-40)","0.08","0.78"
"G166614","1.2","3.2 (0.64-16)","2","0.16"
"G53345","1.2","3.4 (0.52-22)","1.6","0.2"
"G149628","-0.21","0.81 (0.33-2)","0.2","0.65"
"G114884","1.6","4.9 (1.6-15)","7.7","0.0054"
"G54979","0.39","1.5 (0.36-6.1)","0.3","0.58"
"G54532","-0.5","0.61 (0.33-1.1)","2.6","0.11"
"G1538","0.38","1.5 (0.057-37)","0.05","0.82"
"G401630","-0.91","0.4 (0.12-1.4)","2.1","0.15"
"G84200","-0.36","0.7 (0.084-5.8)","0.11","0.74"
"G693207","0.18","1.2 (0.18-8)","0.04","0.85"
"G100132476","1.1","3 (0.063-140)","0.32","0.57"
"G140678","-0.16","0.85 (0.059-12)","0.01","0.91"
"G100505874","0.21","1.2 (0.65-2.4)","0.42","0.52"
"G8924","0.79","2.2 (0.15-33)","0.33","0.57"
"G390561","1.2","3.4 (0.42-28)","1.3","0.25"
"G101929047","0.12","1.1 (0.059-22)","0.01","0.94"
"G101929832","0.12","1.1 (0.059-22)","0.01","0.94"
"G10220","0.023","1 (0.29-3.6)","0","0.97"
"G51561","0.37","1.5 (0.29-7.2)","0.21","0.65"
"G57198","-0.16","0.85 (0.33-2.2)","0.11","0.75"
"G100505498","0.65","1.9 (0.13-27)","0.23","0.63"
"G5545","0.11","1.1 (0.87-1.4)","0.72","0.4"
"G199870","-1.2","0.29 (0.059-1.5)","2.2","0.13"
"G54700","0.16","1.2 (0.41-3.4)","0.09","0.77"
"G653390","0.48","1.6 (0.62-4.2)","0.98","0.32"
"G10367","0.19","1.2 (0.31-4.7)","0.08","0.78"
"G3886","0.67","2 (0.16-24)","0.28","0.6"
"G2209","0.44","1.6 (0.77-3.1)","1.5","0.22"
"G100132417","0.24","1.3 (0.85-1.9)","1.4","0.24"
"G84823","0.31","1.4 (0.74-2.5)","0.98","0.32"
"G7692","-0.14","0.87 (0.21-3.5)","0.04","0.84"
"G7767","-0.34","0.72 (0.23-2.2)","0.34","0.56"
"G3546","-0.06","0.94 (0.73-1.2)","0.2","0.65"
"G860","0.73","2.1 (0.61-7.1)","1.3","0.25"
"G23609","0.82","2.3 (0.35-15)","0.74","0.39"
"G255926","-0.7","0.5 (0.018-14)","0.17","0.68"
"G5232","0.27","1.3 (0.21-8)","0.09","0.77"
"G2636","0.42","1.5 (0.29-8.1)","0.25","0.62"
"G646282","0.15","1.2 (0.61-2.2)","0.19","0.66"
"G389177","1.4","4 (0.79-20)","2.8","0.094"
"G101929550","-0.11","0.9 (0.14-5.7)","0.01","0.91"
"G3890","1.3","3.8 (0.57-25)","1.9","0.17"
"G2298","-1.7","0.18 (0.02-1.6)","2.4","0.12"
"G200350","-1.7","0.18 (0.02-1.6)","2.4","0.12"
"G101928457","-0.53","0.59 (0.03-11)","0.12","0.73"
"G2003","0.84","2.3 (0.65-8.3)","1.7","0.19"
"G51109","1.1","2.9 (0.72-11)","2.2","0.14"
"G9436","2.3","10 (0.92-120)","3.6","0.059"
"G10824","1.6","4.9 (0.74-33)","2.7","0.1"
"G1760","0.6","1.8 (0.56-6)","0.99","0.32"
"G7686","0.54","1.7 (0.19-15)","0.23","0.63"
"G4584","-0.42","0.65 (0.22-2)","0.58","0.45"
"G5369","1.5","4.3 (0.31-60)","1.2","0.27"
"G644591","0.44","1.6 (0.079-30)","0.08","0.77"
"G653505","0.44","1.6 (0.079-30)","0.08","0.77"
"G653598","0.44","1.6 (0.079-30)","0.08","0.77"
"G50852","0.081","1.1 (0.49-2.4)","0.04","0.84"
"G442421","1.6","5 (0.85-29)","3.2","0.074"
"G147841","0.77","2.2 (0.95-5)","3.3","0.068"
"G442240","0.3","1.3 (0.39-4.7)","0.22","0.64"
"G639","0.22","1.3 (0.66-2.4)","0.47","0.49"
"G10917","-0.005","1 (0.25-3.9)","0","0.99"
"G100287387","0.036","1 (0.22-4.9)","0","0.96"
"G23420","0.04","1 (0.4-2.7)","0.01","0.93"
"G283820","0.04","1 (0.4-2.7)","0.01","0.93"
"G408050","0.03","1 (0.33-3.2)","0","0.96"
"G101060373","0.04","1 (0.4-2.7)","0.01","0.93"
"G22983","-0.00065","1 (0.44-2.3)","0","1"
"G100423062","-0.1","0.9 (0.69-1.2)","0.57","0.45"
"G101930405","0.15","1.2 (0.68-2)","0.29","0.59"
"G7710","0.51","1.7 (0.21-13)","0.24","0.63"
"G102723479","-0.18","0.84 (0.34-2)","0.16","0.69"
"G60439","-0.41","0.67 (0.11-3.9)","0.2","0.65"
"G100101117","-0.41","0.67 (0.11-3.9)","0.2","0.65"
"G6138","-0.91","0.4 (0.095-1.7)","1.6","0.21"
"G343071","0.52","1.7 (0.39-7.2)","0.48","0.49"
"G57446","0.23","1.3 (0.46-3.4)","0.2","0.66"
"G26184","-0.063","0.94 (0.12-7.1)","0","0.95"
"G390892","1.3","3.5 (0.33-38)","1.1","0.3"
"G400322","-0.47","0.62 (0.37-1.1)","3.1","0.078"
"G440248","-0.47","0.62 (0.37-1.1)","3.1","0.078"
"G3128","-0.56","0.57 (0.31-1)","3.5","0.063"
"G3850","0.72","2.1 (0.52-8.1)","1.1","0.3"
"G28568","0.24","1.3 (0.42-3.8)","0.18","0.68"
"G647288","-0.06","0.94 (0.052-17)","0","0.97"
"G442186","2.4","11 (1.1-100)","4.3","0.038"
"G160313","-0.42","0.66 (0.097-4.5)","0.18","0.67"
"G4007","-0.52","0.6 (0.14-2.5)","0.51","0.48"
"G574449","-0.077","0.93 (0.22-4)","0.01","0.92"
"G440560","0.35","1.4 (0.27-7.6)","0.17","0.68"
"G100289473","0.25","1.3 (0.31-5.4)","0.12","0.73"
"G100505933","0.96","2.6 (0.094-72)","0.32","0.57"
"G389898","0.23","1.3 (0.29-5.4)","0.09","0.76"
"G84560","1","2.8 (0.41-20)","1.1","0.29"
"G7770","-0.37","0.69 (0.31-1.5)","0.82","0.36"
"G55124","-0.22","0.8 (0.18-3.6)","0.08","0.77"
"G3137","0.31","1.4 (0.62-3)","0.59","0.44"
"G101928278","1.2","3.4 (0.68-17)","2.2","0.14"
"G100131825","0.67","1.9 (0.28-13)","0.46","0.5"
"G101927792","-0.24","0.78 (0.02-30)","0.02","0.9"
"G101928104","-1.2","0.31 (0.032-3)","1","0.31"
"G3108","-0.096","0.91 (0.57-1.4)","0.17","0.68"
"G11191","-0.21","0.81 (0.46-1.4)","0.53","0.47"
"G100506759","0.28","1.3 (0.74-2.3)","0.88","0.35"
"G3433","0.058","1.1 (0.57-2)","0.03","0.86"
"G23460","-0.37","0.69 (0.35-1.4)","1.1","0.3"
"G1406","1.8","6.3 (0.41-97)","1.7","0.19"
"G284021","-0.26","0.77 (0.32-1.8)","0.36","0.55"
"G779","-0.25","0.78 (0.25-2.5)","0.17","0.68"
"G646278","0.054","1.1 (0.63-1.8)","0.04","0.84"
"G101929232","0.054","1.1 (0.63-1.8)","0.04","0.84"
"G169522","0.65","1.9 (0.098-38)","0.19","0.67"
"G283298","0.19","1.2 (0.73-2)","0.52","0.47"
"G114825","-0.48","0.62 (0.16-2.4)","0.49","0.49"
"G51571","0.033","1 (0.43-2.5)","0.01","0.94"
"G91775","0.057","1.1 (0.39-2.9)","0.01","0.91"
"G125893","-1.8","0.16 (0.012-2.1)","1.9","0.16"
"G100500849","-0.5","0.61 (0.1-3.6)","0.3","0.58"
"G79784","0.1","1.1 (0.35-3.5)","0.03","0.86"
"G4499","-0.19","0.82 (0.59-1.2)","1.2","0.27"
"G171392","-0.23","0.8 (0.032-20)","0.02","0.89"
"G348110","0.39","1.5 (0.24-9)","0.17","0.68"
"G10819","0.042","1 (0.67-1.6)","0.03","0.85"
"G256227","0.5","1.6 (0.86-3.1)","2.3","0.13"
"G140801","0.46","1.6 (0.47-5.3)","0.56","0.46"
"G339479","-0.13","0.88 (0.26-2.9)","0.05","0.83"
"G142684","-1.1","0.35 (0.025-4.9)","0.61","0.44"
"G90204","-0.21","0.81 (0.2-3.3)","0.09","0.77"
"G65982","0.24","1.3 (0.46-3.5)","0.22","0.64"
"G51550","0.23","1.3 (0.35-4.5)","0.13","0.72"
"G222663","0.45","1.6 (0.82-3)","1.8","0.17"
"G389856","-0.29","0.75 (0.41-1.3)","0.94","0.33"
"G441273","0.2","1.2 (0.47-3.2)","0.18","0.67"
"G92609","0.18","1.2 (0.51-2.8)","0.16","0.69"
"G90806","-0.62","0.54 (0.23-1.3)","2","0.16"
"G23560","-0.31","0.73 (0.29-1.8)","0.45","0.5"
"G220134","0.36","1.4 (0.85-2.4)","1.8","0.17"
"G51241","-0.78","0.46 (0.2-1.1)","3.3","0.068"
"G100529257","-0.12","0.89 (0.44-1.8)","0.11","0.75"
"G100127972","0.36","1.4 (0.83-2.5)","1.6","0.2"
"G147912","-0.03","0.97 (0.21-4.6)","0","0.97"
"G10780","-1.2","0.3 (0.057-1.6)","2","0.16"
"G126017","-0.009","0.99 (0.4-2.5)","0","0.98"
"G729799","0.25","1.3 (0.61-2.7)","0.43","0.51"
"G388886","-0.33","0.72 (0.13-4)","0.14","0.71"
"G751816","0.37","1.5 (0.88-2.4)","2.2","0.14"
"G201501","0.12","1.1 (0.52-2.5)","0.1","0.76"
"G59339","0.71","2 (0.87-4.8)","2.7","0.1"
"G7477","0.011","1 (0.51-2)","0","0.97"
"G100506898","-0.75","0.47 (0.039-5.7)","0.35","0.55"
"G245812","1.2","3.3 (0.69-16)","2.2","0.13"
"G100500808","1","2.8 (1-7.7)","3.9","0.049"
"G29927","0.39","1.5 (0.59-3.8)","0.69","0.41"
"G51386","-0.1","0.9 (0.24-3.5)","0.02","0.88"
"G51142","0.3","1.3 (0.48-3.8)","0.33","0.57"
"G51335","0.68","2 (0.54-7.2)","1.1","0.3"
"G22818","-0.35","0.71 (0.24-2.1)","0.4","0.53"
"G6277","-0.17","0.85 (0.49-1.5)","0.35","0.55"
"G166","0.6","1.8 (0.57-5.8)","1","0.31"
"G64114","0.43","1.5 (0.57-4.2)","0.72","0.4"
"G102465256","0.43","1.5 (0.57-4.2)","0.72","0.4"
"G9445","-0.73","0.48 (0.14-1.6)","1.4","0.24"
"G9168","-0.13","0.88 (0.17-4.5)","0.02","0.88"
"G11180","-0.074","0.93 (0.26-3.3)","0.01","0.91"
"G27102","-0.61","0.54 (0.2-1.5)","1.4","0.24"
"G51507","0.41","1.5 (0.28-8)","0.23","0.63"
"G6130","-0.76","0.47 (0.063-3.4)","0.56","0.45"
"G26814","-0.76","0.47 (0.063-3.4)","0.56","0.45"
"G26815","-0.76","0.47 (0.063-3.4)","0.56","0.45"
"G26820","-0.76","0.47 (0.063-3.4)","0.56","0.45"
"G51322","-0.088","0.92 (0.35-2.4)","0.03","0.86"
"G55754","-0.25","0.78 (0.47-1.3)","0.97","0.32"
"G80218","-0.04","0.96 (0.53-1.7)","0.02","0.89"
"G10015","-0.38","0.68 (0.32-1.5)","0.96","0.33"
"G51094","0.094","1.1 (0.39-3.1)","0.03","0.86"
"G22820","0.11","1.1 (0.36-3.4)","0.03","0.86"
"G65264","0.76","2.1 (0.83-5.6)","2.4","0.12"
"G373156","0.081","1.1 (0.38-3.1)","0.02","0.88"
"G6231","0.3","1.4 (0.61-3)","0.54","0.46"
"G441502","0.3","1.4 (0.61-3)","0.54","0.46"
"G100996747","0.3","1.4 (0.61-3)","0.54","0.46"
"G101929876","0.3","1.4 (0.61-3)","0.54","0.46"
"G54606","0.16","1.2 (0.22-6.4)","0.04","0.85"
"G51155","-0.086","0.92 (0.51-1.7)","0.08","0.78"
"G10169","0.3","1.3 (0.26-6.9)","0.13","0.72"
"G25764","0.39","1.5 (0.26-8.4)","0.19","0.66"
"G100302254","0.3","1.3 (0.26-6.9)","0.13","0.72"
"G56889","-0.64","0.53 (0.21-1.3)","1.8","0.18"
"G55256","-0.45","0.64 (0.27-1.5)","1","0.31"
"G11031","0.26","1.3 (0.68-2.5)","0.64","0.42"
"G29959","0.71","2 (0.69-6.1)","1.6","0.2"
"G23585","-1.1","0.34 (0.12-0.97)","4","0.045"
"G718","-0.11","0.89 (0.62-1.3)","0.38","0.54"
"G51637","0.074","1.1 (0.4-2.9)","0.02","0.88"
"G51371","-0.39","0.67 (0.33-1.4)","1.1","0.28"
"G23788","0.93","2.5 (0.76-8.4)","2.3","0.13"
"G4697","-0.36","0.7 (0.23-2.1)","0.4","0.53"
"G51504","-0.078","0.93 (0.22-4)","0.01","0.92"
"G51495","0.016","1 (0.37-2.8)","0","0.97"
"G27173","0.51","1.7 (0.59-4.7)","0.93","0.34"
"G55629","-0.37","0.69 (0.35-1.4)","1.2","0.28"
"G51398","0.39","1.5 (0.45-4.8)","0.41","0.52"
"G64397","-0.44","0.65 (0.26-1.6)","0.9","0.34"
"G2873","0.011","1 (0.34-3)","0","0.98"
"G51646","-0.72","0.49 (0.23-1)","3.7","0.056"
"G10652","0.31","1.4 (0.71-2.6)","0.9","0.34"
"G2590","0.9","2.5 (0.86-7.1)","2.8","0.093"
"G58533","-0.044","0.96 (0.47-1.9)","0.01","0.9"
"G6747","-0.29","0.75 (0.26-2.1)","0.3","0.59"
"G5832","0.14","1.2 (0.51-2.6)","0.12","0.73"
"G27131","-0.84","0.43 (0.091-2.1)","1.1","0.29"
"G9230","1.3","3.6 (0.58-22)","1.9","0.17"
"G54458","-1.4","0.26 (0.068-0.95)","4.1","0.042"
"G79188","0.097","1.1 (0.35-3.5)","0.03","0.87"
"G55666","-0.5","0.6 (0.17-2.2)","0.58","0.45"
"G51506","-0.94","0.39 (0.12-1.3)","2.5","0.11"
"G4848","0.16","1.2 (0.3-4.6)","0.05","0.82"
"G7328","-0.22","0.8 (0.19-3.4)","0.09","0.76"
"G80762","0.3","1.3 (0.49-3.7)","0.33","0.57"
"G514","-1.1","0.32 (0.056-1.8)","1.6","0.2"
"G64710","0.51","1.7 (0.56-4.9)","0.85","0.36"
"G64083","-0.36","0.7 (0.25-1.9)","0.48","0.49"
"G26073","-0.18","0.84 (0.3-2.3)","0.11","0.74"
"G29997","0.0053","1 (0.23-4.3)","0","0.99"
"G692091","-0.068","0.93 (0.32-2.7)","0.02","0.9"
"G79109","0.26","1.3 (0.38-4.5)","0.17","0.68"
"G28969","-0.13","0.88 (0.38-2.1)","0.09","0.77"
"G51520","-0.095","0.91 (0.32-2.6)","0.03","0.86"
"G51714","-0.5","0.61 (0.3-1.2)","1.8","0.18"
"G51441","-0.44","0.64 (0.16-2.5)","0.4","0.53"
"G10927","0.77","2.2 (0.71-6.6)","1.9","0.17"
"G57003","-0.63","0.53 (0.3-0.93)","4.8","0.028"
"G11198","-0.16","0.85 (0.29-2.5)","0.08","0.78"
"G51729","0.098","1.1 (0.39-3.1)","0.03","0.85"
"G51465","-0.23","0.79 (0.33-1.9)","0.26","0.61"
"G79811","-0.64","0.52 (0.3-0.93)","4.8","0.028"
"G10713","-0.97","0.38 (0.13-1.1)","3.1","0.079"
"G55968","-0.91","0.4 (0.1-1.6)","1.7","0.2"
"G55969","-0.16","0.85 (0.42-1.7)","0.19","0.66"
"G100527943","-0.16","0.85 (0.42-1.7)","0.19","0.66"
"G55249","-0.29","0.75 (0.27-2.1)","0.29","0.59"
"G51652","0.16","1.2 (0.34-4.1)","0.06","0.8"
"G100526767","0.16","1.2 (0.34-4.1)","0.06","0.8"
"G51466","0.3","1.4 (0.58-3.1)","0.49","0.48"
"G10342","0.55","1.7 (0.29-10)","0.36","0.55"
"G51428","0.62","1.9 (0.55-6.4)","0.98","0.32"
"G51400","0.4","1.5 (0.34-6.5)","0.29","0.59"
"G51631","-1.1","0.32 (0.093-1.1)","3.3","0.069"
"G100996928","-1.1","0.33 (0.1-1.1)","3.2","0.074"
"G29079","-0.88","0.41 (0.19-0.9)","4.9","0.027"
"G58190","-0.061","0.94 (0.28-3.1)","0.01","0.92"
"G25994","-0.088","0.92 (0.43-1.9)","0.05","0.82"
"G5859","0.6","1.8 (0.53-6.2)","0.92","0.34"
"G102465536","0.6","1.8 (0.53-6.2)","0.92","0.34"
"G9967","0.28","1.3 (0.33-5.3)","0.16","0.69"
"G5464","-0.43","0.65 (0.37-1.1)","2.2","0.14"
"G26354","-0.62","0.54 (0.22-1.3)","1.8","0.18"
"G100113381","-0.36","0.7 (0.39-1.2)","1.5","0.22"
"G51012","-0.52","0.6 (0.3-1.2)","2.2","0.14"
"G55207","-0.23","0.79 (0.42-1.5)","0.5","0.48"
"G64759","0.5","1.6 (0.49-5.6)","0.65","0.42"
"G51150","0.075","1.1 (0.27-4.3)","0.01","0.92"
"G51566","-0.23","0.8 (0.41-1.6)","0.44","0.51"
"G10113","0.0083","1 (0.38-2.6)","0","0.99"
"G8554","-0.26","0.77 (0.39-1.5)","0.58","0.45"
"G79869","0.93","2.5 (0.33-19)","0.8","0.37"
"G25825","0.63","1.9 (1.1-3.1)","6.2","0.012"
"G51108","-0.21","0.81 (0.22-3)","0.1","0.75"
"G4282","0.57","1.8 (0.69-4.5)","1.4","0.23"
"G55011","0.37","1.5 (0.54-3.9)","0.55","0.46"
"G51719","-0.37","0.69 (0.36-1.3)","1.3","0.26"
"G8802","-1.2","0.3 (0.046-2)","1.5","0.22"
"G56937","0.77","2.2 (1.2-3.9)","6.4","0.011"
"G9328","0.12","1.1 (0.29-4.3)","0.03","0.87"
"G996","0.08","1.1 (0.51-2.3)","0.04","0.84"
"G27249","-0.084","0.92 (0.46-1.8)","0.06","0.81"
"G55226","-0.53","0.59 (0.22-1.6)","1.1","0.3"
"G2060","-0.32","0.72 (0.42-1.3)","1.3","0.25"
"G55738","-0.2","0.82 (0.27-2.5)","0.12","0.73"
"G79901","-0.032","0.97 (0.6-1.6)","0.02","0.9"
"G64755","-1.6","0.21 (0.08-0.54)","10","0.0012"
"G51474","-0.34","0.71 (0.34-1.5)","0.81","0.37"
"G79647","-0.092","0.91 (0.42-2)","0.05","0.82"
"G51133","0.2","1.2 (0.77-1.9)","0.71","0.4"
"G55037","-0.37","0.69 (0.24-2)","0.49","0.49"
"G80011","0.59","1.8 (0.36-8.8)","0.52","0.47"
"G53826","0.43","1.5 (0.81-3)","1.7","0.19"
"G56851","0.0025","1 (0.25-4)","0","1"
"G54867","0.38","1.5 (0.48-4.5)","0.46","0.5"
"G55699","-0.39","0.67 (0.39-1.2)","2","0.16"
"G29888","0.55","1.7 (0.75-4)","1.7","0.2"
"G23621","0.58","1.8 (0.75-4.3)","1.7","0.19"
"G79892","0.58","1.8 (0.37-8.7)","0.53","0.47"
"G23588","-0.44","0.64 (0.31-1.3)","1.4","0.23"
"G29074","-0.16","0.85 (0.32-2.2)","0.11","0.74"
"G55827","-1.2","0.3 (0.1-0.88)","4.8","0.028"
"G9531","0.59","1.8 (1.1-3.1)","4.8","0.029"
"G64118","-0.63","0.53 (0.18-1.6)","1.3","0.25"
"G27183","0.038","1 (0.3-3.6)","0","0.95"
"G51187","-0.17","0.84 (0.55-1.3)","0.63","0.43"
"G28977","-0.37","0.69 (0.35-1.4)","1.2","0.28"
"G553115","-0.12","0.88 (0.33-2.4)","0.06","0.81"
"G28974","0.49","1.6 (0.45-5.9)","0.55","0.46"
"G28972","-0.2","0.82 (0.28-2.4)","0.13","0.71"
"G55291","-0.25","0.78 (0.31-2)","0.28","0.6"
"G79932","-0.48","0.62 (0.31-1.2)","1.8","0.18"
"G54472","0.27","1.3 (0.28-6.3)","0.12","0.73"
"G51081","-1.2","0.31 (0.11-0.92)","4.5","0.034"
"G51056","-0.08","0.92 (0.5-1.7)","0.07","0.8"
"G10273","-0.35","0.71 (0.2-2.5)","0.29","0.59"
"G55245","-1.6","0.2 (0.028-1.4)","2.7","0.1"
"G51564","0.03","1 (0.14-7.3)","0","0.98"
"G56888","-0.53","0.59 (0.15-2.4)","0.54","0.46"
"G54812","-0.69","0.5 (0.23-1.1)","3","0.081"
"G55739","-1.1","0.33 (0.11-0.98)","4","0.045"
"G55914","-0.27","0.77 (0.41-1.4)","0.69","0.41"
"G60488","-0.31","0.73 (0.32-1.7)","0.52","0.47"
"G55700","1","2.8 (0.95-8.2)","3.5","0.062"
"G55624","0.78","2.2 (0.45-10)","0.94","0.33"
"G53339","-0.22","0.8 (0.48-1.3)","0.74","0.39"
"G26071","0.39","1.5 (0.59-3.7)","0.71","0.4"
"G79001","0.013","1 (0.4-2.6)","0","0.98"
"G51070","0.14","1.2 (0.39-3.4)","0.07","0.8"
"G58478","-0.21","0.81 (0.42-1.6)","0.37","0.54"
"G29105","0.076","1.1 (0.45-2.6)","0.03","0.87"
"G51399","0.11","1.1 (0.24-5.2)","0.02","0.89"
"G100500840","0.11","1.1 (0.24-5.2)","0.02","0.89"
"G56993","0.25","1.3 (0.51-3.2)","0.28","0.6"
"G54977","-1.3","0.27 (0.094-0.8)","5.6","0.018"
"G55505","-0.1","0.91 (0.3-2.7)","0.03","0.86"
"G27018","0.069","1.1 (0.59-2)","0.05","0.82"
"G54902","-0.46","0.63 (0.34-1.2)","2.2","0.14"
"G29115","-1.4","0.25 (0.044-1.4)","2.5","0.11"
"G116496","-0.0038","1 (0.63-1.6)","0","0.99"
"G7260","0.002","1 (0.4-2.5)","0","1"
"G738","0.56","1.8 (0.62-5)","1.1","0.29"
"G57472","-0.2","0.82 (0.45-1.5)","0.42","0.52"
"G8649","-0.49","0.61 (0.36-1)","3.2","0.073"
"G54927","-0.68","0.51 (0.1-2.6)","0.66","0.42"
"G51181","-0.45","0.64 (0.32-1.3)","1.6","0.2"
"G51768","-0.013","0.99 (0.54-1.8)","0","0.97"
"G51186","-0.19","0.83 (0.48-1.4)","0.46","0.5"
"G51143","-0.46","0.63 (0.24-1.7)","0.88","0.35"
"G51734","-0.13","0.88 (0.47-1.6)","0.17","0.68"
"G55585","-1.4","0.25 (0.069-0.9)","4.5","0.034"
"G27075","-0.45","0.64 (0.34-1.2)","2","0.16"
"G54948","-0.43","0.65 (0.22-1.9)","0.61","0.44"
"G26515","-1","0.35 (0.099-1.2)","2.6","0.1"
"G10933","0.27","1.3 (0.46-3.7)","0.25","0.62"
"G11177","-0.18","0.83 (0.52-1.3)","0.57","0.45"
"G54529","-0.58","0.56 (0.31-1)","3.7","0.055"
"G57820","-0.14","0.87 (0.36-2.1)","0.11","0.75"
"G51170","-0.41","0.66 (0.42-1)","3.2","0.076"
"G51292","-0.036","0.96 (0.37-2.5)","0.01","0.94"
"G23648","0.55","1.7 (0.66-4.6)","1.2","0.27"
"G79180","0.39","1.5 (0.64-3.4)","0.82","0.36"
"G27430","0.51","1.7 (0.34-8.1)","0.39","0.53"
"G54973","-0.64","0.53 (0.14-1.9)","0.91","0.34"
"G102465435","-0.3","0.74 (0.2-2.7)","0.2","0.65"
"G58472","-0.11","0.9 (0.48-1.7)","0.11","0.74"
"G22822","0.25","1.3 (0.73-2.2)","0.76","0.38"
"G51116","-0.37","0.69 (0.27-1.7)","0.63","0.43"
"G9547","-0.077","0.93 (0.72-1.2)","0.37","0.54"
"G2287","1.2","3.2 (0.91-11)","3.3","0.071"
"G7570","-0.17","0.85 (0.43-1.7)","0.24","0.63"
"G51065","0.26","1.3 (0.59-2.8)","0.41","0.52"
"G55069","-0.65","0.52 (0.093-2.9)","0.55","0.46"
"G9055","0.28","1.3 (0.93-1.9)","2.5","0.12"
"G79144","-0.039","0.96 (0.42-2.2)","0.01","0.93"
"G59286","-0.14","0.87 (0.24-3.2)","0.04","0.84"
"G64061","-0.31","0.73 (0.17-3.1)","0.18","0.67"
"G51164","-0.11","0.9 (0.32-2.5)","0.04","0.84"
"G79902","-0.58","0.56 (0.22-1.4)","1.4","0.23"
"G56897","0.18","1.2 (0.19-7.6)","0.04","0.85"
"G55718","-2.9","0.057 (0.0088-0.37)","9.1","0.0026"
"G101060521","-2.8","0.06 (0.012-0.3)","12","0.00062"
"G60685","0.39","1.5 (0.52-4.2)","0.53","0.47"
"G10901","-0.76","0.47 (0.14-1.6)","1.4","0.23"
"G317749","-0.76","0.47 (0.14-1.6)","1.4","0.23"
"G51307","0.68","2 (0.75-5.2)","1.9","0.17"
"G51660","-2.1","0.12 (0.021-0.65)","6","0.014"
"G10455","-0.27","0.77 (0.38-1.5)","0.55","0.46"
"G28958","-1.6","0.21 (0.041-1.1)","3.6","0.059"
"G29088","-0.027","0.97 (0.52-1.8)","0.01","0.93"
"G64834","-0.59","0.55 (0.2-1.5)","1.3","0.25"
"G102466723","-0.59","0.55 (0.2-1.5)","1.3","0.25"
"G79567","1","2.7 (0.8-9.3)","2.6","0.11"
"G28964","0.22","1.2 (0.32-4.8)","0.1","0.76"
"G8303","-0.32","0.73 (0.29-1.8)","0.47","0.49"
"G51024","0.13","1.1 (0.41-3.2)","0.06","0.81"
"G54502","-1.2","0.31 (0.08-1.2)","2.9","0.088"
"G51068","-0.17","0.84 (0.46-1.6)","0.3","0.59"
"G79137","0.006","1 (0.33-3.1)","0","0.99"
"G51203","0.19","1.2 (0.84-1.8)","1","0.31"
"G55119","-0.035","0.97 (0.41-2.2)","0.01","0.93"
"G54407","-0.022","0.98 (0.64-1.5)","0.01","0.92"
"G51138","-0.8","0.45 (0.15-1.3)","2","0.15"
"G64343","-0.51","0.6 (0.23-1.5)","1.2","0.28"
"G5763","0.83","2.3 (0.63-8.4)","1.6","0.21"
"G51021","-0.054","0.95 (0.38-2.4)","0.01","0.91"
"G114883","-0.22","0.8 (0.5-1.3)","0.84","0.36"
"G23412","-0.45","0.64 (0.22-1.9)","0.67","0.41"
"G28998","-0.21","0.81 (0.52-1.2)","0.91","0.34"
"G51569","-0.6","0.55 (0.29-1)","3.5","0.061"
"G57130","0.27","1.3 (0.41-4.2)","0.21","0.64"
"G55255","0.38","1.5 (0.55-3.9)","0.59","0.44"
"G51283","-0.47","0.62 (0.25-1.5)","1.1","0.3"
"G10328","0.31","1.4 (0.54-3.5)","0.44","0.51"
"G30827","0.6","1.8 (0.5-6.8)","0.82","0.36"
"G51123","-0.45","0.64 (0.21-2)","0.61","0.43"
"G4201","0.45","1.6 (0.63-3.9)","0.92","0.34"
"G56674","-0.37","0.69 (0.31-1.5)","0.82","0.37"
"G10723","-0.37","0.69 (0.35-1.4)","1.1","0.29"
"G55082","-0.84","0.43 (0.18-1.1)","3.4","0.064"
"G79894","0.1","1.1 (0.25-5)","0.02","0.9"
"G79077","-0.19","0.83 (0.4-1.7)","0.24","0.62"
"G29926","0.011","1 (0.33-3.1)","0","0.98"
"G29099","-0.027","0.97 (0.33-2.9)","0","0.96"
"G55706","0.16","1.2 (0.64-2.2)","0.28","0.59"
"G51647","0.028","1 (0.36-2.9)","0","0.96"
"G8086","0.061","1.1 (0.28-4.1)","0.01","0.93"
"G55114","-0.12","0.88 (0.27-2.9)","0.04","0.84"
"G51304","0.22","1.2 (0.47-3.3)","0.19","0.66"
"G11124","-0.072","0.93 (0.18-4.9)","0.01","0.93"
"G54976","-0.27","0.77 (0.27-2.2)","0.25","0.62"
"G7342","-0.45","0.64 (0.24-1.7)","0.79","0.37"
"G80142","-0.02","0.98 (0.32-3)","0","0.97"
"G53827","0.28","1.3 (0.69-2.5)","0.73","0.39"
