"","beta","HR (95% CI for HR)","wald.test","p.value"
"G9955","-0.0044","1 (0.77-1.3)","0","0.97"
"G4692","0.067","1.1 (0.76-1.5)","0.16","0.69"
"G23046","0.12","1.1 (0.41-3.1)","0.06","0.81"
"G654042","-0.31","0.73 (0.24-2.2)","0.3","0.58"
"G92806","0.1","1.1 (0.62-2)","0.12","0.73"
"G439921","-0.032","0.97 (0.52-1.8)","0.01","0.92"
"G2893","0.35","1.4 (0.38-5.3)","0.26","0.61"
"G7584","-0.094","0.91 (0.54-1.5)","0.13","0.72"
"G650220","0.26","1.3 (0.58-2.9)","0.38","0.54"
"G650321","0.31","1.4 (0.91-2.1)","2.2","0.14"
"G8615","0.15","1.2 (0.6-2.3)","0.2","0.65"
"G83401","0.041","1 (0.77-1.4)","0.07","0.79"
"G649073","0.4","1.5 (0.66-3.4)","0.93","0.33"
"G7769","-0.044","0.96 (0.67-1.4)","0.06","0.81"
"G7561","0.24","1.3 (0.58-2.8)","0.37","0.55"
"G85411","0.089","1.1 (0.59-2)","0.08","0.78"
"G50814","-0.33","0.72 (0.36-1.4)","0.86","0.35"
"G646864","-0.49","0.62 (0.23-1.6)","0.97","0.32"
"G8848","0.1","1.1 (0.75-1.6)","0.28","0.6"
"G653133","0.043","1 (0.76-1.4)","0.07","0.79"
"G641765","-0.2","0.82 (0.54-1.3)","0.81","0.37"
"G7844","-0.07","0.93 (0.44-2)","0.03","0.85"
"G134466","0.23","1.3 (0.66-2.4)","0.49","0.48"
"G3934","0.14","1.2 (0.96-1.4)","2.3","0.13"
"G79930","-0.18","0.84 (0.56-1.3)","0.75","0.39"
"G642224","-0.22","0.8 (0.33-2)","0.23","0.63"
"G390669","-0.31","0.73 (0.31-1.7)","0.5","0.48"
"G391742","1.1","3.1 (1.6-6)","10","0.0012"
"G81786","0.51","1.7 (0.83-3.3)","2.1","0.15"
"G11152","1.1","3.1 (1.3-7.7)","6.3","0.012"
"G260339","0.018","1 (0.36-2.8)","0","0.97"
"G4097","0.19","1.2 (0.69-2.1)","0.43","0.51"
"G2047","0.069","1.1 (0.83-1.4)","0.29","0.59"
"G8703","-0.44","0.64 (0.35-1.2)","2.1","0.15"
"G113419","-0.19","0.83 (0.38-1.8)","0.22","0.64"
"G9453","0.21","1.2 (0.67-2.3)","0.44","0.51"
"G4821","-0.54","0.58 (0.3-1.1)","2.5","0.11"
"G196385","-0.081","0.92 (0.3-2.8)","0.02","0.89"
"G283278","-0.85","0.43 (0.16-1.1)","2.9","0.088"
"G64005","-0.098","0.91 (0.68-1.2)","0.45","0.5"
"G644331","-0.095","0.91 (0.42-2)","0.06","0.81"
"G242","0.03","1 (0.7-1.5)","0.02","0.88"
"G2004","-0.1","0.9 (0.54-1.5)","0.16","0.69"
"G389114","0.053","1.1 (0.77-1.5)","0.11","0.74"
"G55561","0.4","1.5 (0.6-3.7)","0.74","0.39"
"G59082","-1.6","0.2 (0.047-0.8)","5.1","0.024"
"G51135","0.59","1.8 (0.88-3.7)","2.6","0.1"
"G54753","0.28","1.3 (0.56-3.1)","0.39","0.53"
"G284252","0.084","1.1 (0.65-1.8)","0.1","0.75"
"G1746","0.42","1.5 (0.74-3.1)","1.3","0.26"
"G904","-0.13","0.88 (0.54-1.4)","0.29","0.59"
"G23251","0.25","1.3 (0.85-1.9)","1.4","0.24"
"G254158","-0.24","0.78 (0.26-2.4)","0.18","0.67"
"G8506","0.18","1.2 (0.81-1.8)","0.84","0.36"
"G64802","0.0092","1 (0.6-1.7)","0","0.97"
"G10084","-0.029","0.97 (0.53-1.8)","0.01","0.93"
"G219437","0.49","1.6 (0.35-7.5)","0.39","0.53"
"G55020","0.13","1.1 (0.7-1.9)","0.26","0.61"
"G441107","-0.44","0.65 (0.29-1.4)","1.2","0.28"
"G146664","0.93","2.5 (1.1-5.7)","5","0.025"
"G644271","0.53","1.7 (0.83-3.5)","2.1","0.15"
"G30834","0.15","1.2 (0.73-1.9)","0.4","0.53"
"G648507","0.031","1 (0.53-2)","0.01","0.93"
"G79022","0.18","1.2 (0.71-2)","0.48","0.49"
"G6652","0.51","1.7 (1.1-2.6)","5.2","0.022"
"G1803","-0.042","0.96 (0.77-1.2)","0.15","0.7"
"G23616","-0.12","0.89 (0.64-1.2)","0.53","0.47"
"G646849","0.061","1.1 (0.73-1.6)","0.1","0.75"
"G5232","-0.92","0.4 (0.083-1.9)","1.3","0.25"
"G54777","0.046","1 (0.82-1.3)","0.13","0.72"
"G6433","0.035","1 (0.59-1.8)","0.01","0.9"
"G25938","-0.12","0.89 (0.34-2.3)","0.06","0.81"
"G285711","-0.066","0.94 (0.49-1.8)","0.04","0.84"
"G138065","0.28","1.3 (1-1.7)","5","0.025"
"G165057","0.056","1.1 (0.47-2.4)","0.02","0.89"
"G641993","-0.33","0.72 (0.4-1.3)","1.2","0.27"
"G7455","-0.76","0.47 (0.12-1.7)","1.3","0.26"
"G85438","0.058","1.1 (0.49-2.3)","0.02","0.88"
"G10127","-0.17","0.85 (0.39-1.8)","0.18","0.67"
"G653950","-0.055","0.95 (0.39-2.3)","0.02","0.9"
"G652326","0.26","1.3 (0.85-2)","1.5","0.23"
"G647591","0.11","1.1 (0.44-2.8)","0.05","0.82"
"G4620","-0.13","0.88 (0.31-2.5)","0.06","0.81"
"G29075","0.63","1.9 (0.64-5.5)","1.3","0.25"
"G81554","-0.097","0.91 (0.47-1.8)","0.08","0.77"
"G5245","-0.14","0.87 (0.43-1.7)","0.16","0.69"
"G653275","0.95","2.6 (1.1-6)","4.9","0.027"
"G6718","0.27","1.3 (0.46-3.7)","0.26","0.61"
"G55615","-0.28","0.76 (0.37-1.6)","0.56","0.45"
"G219699","0.054","1.1 (0.72-1.5)","0.08","0.78"
"G85407","-0.03","0.97 (0.7-1.3)","0.03","0.86"
"G6603","0.043","1 (0.67-1.6)","0.04","0.85"
"G6002","-0.6","0.55 (0.1-3)","0.48","0.49"
"G644225","0.58","1.8 (0.77-4.1)","1.8","0.18"
"G79805","0.011","1 (0.75-1.4)","0.01","0.94"
"G1538","0.2","1.2 (0.41-3.6)","0.12","0.72"
"G55208","-0.014","0.99 (0.53-1.8)","0","0.96"
"G391356","0.019","1 (0.71-1.5)","0.01","0.92"
"G30009","-0.14","0.87 (0.49-1.5)","0.25","0.62"
"G83740","-0.44","0.65 (0.19-2.2)","0.51","0.48"
"G648876","-0.56","0.57 (0.28-1.2)","2.4","0.12"
"G80727","-0.063","0.94 (0.67-1.3)","0.14","0.71"
"G57611","0.071","1.1 (0.82-1.4)","0.28","0.6"
"G22898","-0.095","0.91 (0.66-1.2)","0.35","0.56"
"G81671","0.063","1.1 (0.56-2)","0.04","0.85"
"G59335","0.015","1 (0.4-2.6)","0","0.97"
"G1798","0.031","1 (0.63-1.7)","0.02","0.9"
"G55015","0.13","1.1 (0.57-2.3)","0.14","0.71"
"G9903","0.04","1 (0.67-1.6)","0.03","0.86"
"G23421","-0.085","0.92 (0.68-1.2)","0.32","0.57"
"G443","-0.55","0.57 (0.29-1.1)","2.5","0.11"
"G65259","-0.069","0.93 (0.65-1.3)","0.14","0.71"
"G3024","-0.014","0.99 (0.59-1.6)","0","0.96"
"G645485","0.72","2 (0.96-4.4)","3.5","0.062"
"G54823","0.52","1.7 (0.99-2.8)","3.8","0.053"
"G55296","0.25","1.3 (0.73-2.3)","0.73","0.39"
"G347454","0.094","1.1 (0.61-2)","0.1","0.75"
"G650708","-0.045","0.96 (0.41-2.2)","0.01","0.92"
"G79799","-0.49","0.61 (0.2-1.9)","0.73","0.39"
"G645279","-0.23","0.79 (0.27-2.4)","0.18","0.67"
"G647961","-0.15","0.86 (0.39-1.9)","0.15","0.7"
"G10611","0.32","1.4 (0.82-2.3)","1.4","0.23"
"G155382","0.011","1 (0.61-1.7)","0","0.97"
"G161145","0.35","1.4 (0.55-3.6)","0.52","0.47"
"G442446","-0.21","0.81 (0.3-2.2)","0.16","0.69"
"G3581","-0.017","0.98 (0.51-1.9)","0","0.96"
"G8503","0.32","1.4 (0.84-2.3)","1.6","0.21"
"G65094","-0.23","0.79 (0.51-1.2)","1.1","0.3"
"G646089","-0.52","0.6 (0.24-1.5)","1.3","0.26"
"G284747","0.21","1.2 (0.53-2.9)","0.24","0.62"
"G646135","-0.056","0.95 (0.55-1.6)","0.04","0.84"
"G645397","-0.4","0.67 (0.19-2.4)","0.38","0.54"
"G9423","0.42","1.5 (0.56-4.2)","0.68","0.41"
"G5017","0.63","1.9 (0.74-4.7)","1.7","0.19"
"G29968","-0.037","0.96 (0.61-1.5)","0.02","0.88"
"G148137","-0.038","0.96 (0.5-1.9)","0.01","0.91"
"G60492","0.024","1 (0.65-1.6)","0.01","0.92"
"G643949","-0.0057","0.99 (0.69-1.4)","0","0.98"
"G10106","-0.23","0.79 (0.42-1.5)","0.51","0.47"
"G8312","-0.33","0.72 (0.34-1.5)","0.8","0.37"
"G636","0.36","1.4 (0.76-2.7)","1.2","0.27"
"G647677","-0.052","0.95 (0.42-2.2)","0.02","0.9"
"G390387","-0.14","0.87 (0.14-5.4)","0.02","0.88"
"G6822","0.32","1.4 (0.5-3.8)","0.39","0.53"
"G647417","-0.23","0.8 (0.3-2.1)","0.21","0.64"
"G642607","-0.42","0.66 (0.29-1.5)","0.98","0.32"
"G10875","-0.13","0.87 (0.68-1.1)","1.1","0.29"
"G1051","-0.11","0.9 (0.56-1.4)","0.2","0.66"
"G7542","-0.75","0.47 (0.22-1)","3.9","0.05"
"G197335","-0.32","0.72 (0.29-1.8)","0.47","0.49"
"G643581","0.26","1.3 (0.56-3)","0.36","0.55"
"G11018","0.17","1.2 (0.71-2)","0.43","0.51"
"G7422","-0.39","0.68 (0.38-1.2)","1.8","0.18"
"G646209","-0.094","0.91 (0.39-2.1)","0.05","0.83"
"G339145","-0.17","0.84 (0.47-1.5)","0.33","0.57"
"G55520","-0.0023","1 (0.65-1.5)","0","0.99"
"G442519","-0.41","0.67 (0.25-1.8)","0.67","0.41"
"G376844","-0.1","0.9 (0.43-1.9)","0.07","0.79"
"G54677","-0.037","0.96 (0.63-1.5)","0.03","0.86"
"G4108","0.048","1 (0.45-2.4)","0.01","0.91"
"G27030","-0.049","0.95 (0.5-1.8)","0.02","0.88"
"G644109","-1.1","0.34 (0.099-1.2)","3","0.083"
"G200162","0.33","1.4 (0.94-2.1)","2.8","0.097"
"G130576","0.052","1.1 (0.89-1.3)","0.35","0.55"
"G651076","-0.01","0.99 (0.75-1.3)","0.01","0.94"
"G10490","0.47","1.6 (0.99-2.6)","3.6","0.056"
"G9184","-0.17","0.85 (0.44-1.6)","0.25","0.62"
"G176","0.35","1.4 (0.51-4)","0.44","0.51"
"G2530","-0.34","0.71 (0.39-1.3)","1.2","0.27"
"G5266","0.13","1.1 (1-1.3)","4.1","0.043"
"G652049","0.17","1.2 (0.52-2.7)","0.16","0.69"
"G651900","-0.17","0.84 (0.3-2.3)","0.11","0.74"
"G653757","-0.033","0.97 (0.65-1.4)","0.03","0.87"
"G286053","-0.21","0.81 (0.43-1.5)","0.41","0.52"
"G419","0.49","1.6 (1.3-2.1)","17","4.6e-05"
"G11215","-0.088","0.92 (0.47-1.8)","0.07","0.8"
"G64946","0.79","2.2 (0.83-5.9)","2.5","0.11"
"G642520","0.65","1.9 (0.8-4.6)","2.2","0.14"
"G646897","0.045","1 (0.69-1.6)","0.04","0.83"
"G113444","0.22","1.3 (0.81-1.9)","1","0.31"
"G29066","0.15","1.2 (0.59-2.3)","0.18","0.67"
"G3373","-0.022","0.98 (0.61-1.6)","0.01","0.93"
"G9764","-0.12","0.88 (0.62-1.3)","0.44","0.51"
"G162979","-0.62","0.54 (0.35-0.81)","8.7","0.0032"
"G6604","0.014","1 (0.62-1.7)","0","0.96"
"G29063","-0.27","0.76 (0.4-1.5)","0.68","0.41"
"G91452","0.11","1.1 (0.38-3.3)","0.04","0.85"
"G10015","0.096","1.1 (0.44-2.8)","0.04","0.84"
"G653600","0.0016","1 (0.57-1.8)","0","1"
"G94235","0.099","1.1 (0.59-2.1)","0.1","0.76"
"G56241","-0.061","0.94 (0.81-1.1)","0.65","0.42"
"G645219","0.2","1.2 (0.51-2.9)","0.2","0.65"
"G83878","0.82","2.3 (1.3-4)","8.6","0.0034"
"G402508","-0.099","0.91 (0.38-2.2)","0.05","0.82"
"G642514","-0.085","0.92 (0.5-1.7)","0.07","0.79"
"G51371","0.29","1.3 (0.34-5.1)","0.17","0.68"
"G79066","-0.2","0.82 (0.44-1.5)","0.41","0.52"
"G647219","-0.13","0.88 (0.5-1.6)","0.19","0.66"
"G648176","0.061","1.1 (0.65-1.7)","0.06","0.81"
"G259287","-0.34","0.71 (0.32-1.6)","0.69","0.4"
"G81533","0.25","1.3 (0.68-2.4)","0.59","0.44"
"G7009","-0.085","0.92 (0.47-1.8)","0.06","0.8"
"G51112","-0.16","0.85 (0.43-1.7)","0.22","0.64"
"G57150","0.17","1.2 (0.8-1.7)","0.71","0.4"
"G648085","-0.14","0.87 (0.35-2.2)","0.09","0.76"
"G55266","0.33","1.4 (0.84-2.3)","1.6","0.2"
"G5033","0.068","1.1 (0.65-1.8)","0.07","0.79"
"G1545","0.072","1.1 (0.84-1.4)","0.33","0.57"
"G5881","0.067","1.1 (0.8-1.4)","0.2","0.65"
"G283651","-1.2","0.29 (0.085-0.98)","3.9","0.047"
"G64506","0.047","1 (0.59-1.9)","0.03","0.87"
"G55052","0.099","1.1 (0.74-1.6)","0.24","0.62"
"G652859","0.013","1 (0.45-2.3)","0","0.98"
"G644305","-1.3","0.29 (0.082-1)","3.9","0.05"
"G643808","-0.16","0.85 (0.39-1.8)","0.17","0.68"
"G124056","0.23","1.3 (0.76-2.1)","0.82","0.37"
"G340526","-0.0086","0.99 (0.46-2.1)","0","0.98"
"G10295","-0.39","0.68 (0.3-1.5)","0.87","0.35"
"G5672","-0.39","0.68 (0.35-1.3)","1.3","0.26"
"G54813","-0.62","0.54 (0.28-1)","3.5","0.062"
"G646358","-0.17","0.84 (0.61-1.2)","1.1","0.3"
"G140707","0.044","1 (0.61-1.8)","0.03","0.87"
"G649917","0.073","1.1 (0.65-1.8)","0.08","0.78"
"G644944","-1.5","0.22 (0.065-0.73)","6.1","0.013"
"G6185","0.17","1.2 (0.75-1.9)","0.52","0.47"
"G643194","-0.63","0.53 (0.18-1.6)","1.3","0.26"
"G648268","0.088","1.1 (0.68-1.8)","0.13","0.72"
"G7125","-0.26","0.77 (0.59-1)","3.9","0.049"
"G654364","0.15","1.2 (0.85-1.6)","0.9","0.34"
"G144811","0.12","1.1 (0.79-1.6)","0.42","0.51"
"G54850","0.4","1.5 (0.81-2.8)","1.6","0.2"
"G643811","0.26","1.3 (0.73-2.3)","0.81","0.37"
"G79690","0.15","1.2 (0.77-1.7)","0.49","0.48"
"G114821","0.26","1.3 (0.56-3)","0.37","0.55"
"G392506","-0.68","0.5 (0.21-1.2)","2.3","0.13"
"G283212","-0.048","0.95 (0.74-1.2)","0.13","0.72"
"G55672","-0.51","0.6 (0.28-1.3)","1.6","0.2"
"G8817","-0.11","0.9 (0.54-1.5)","0.16","0.69"
"G26692","-0.46","0.63 (0.23-1.7)","0.8","0.37"
"G23478","0.084","1.1 (0.42-2.8)","0.03","0.86"
"G113540","-0.044","0.96 (0.51-1.8)","0.02","0.89"
"G642922","0.53","1.7 (0.84-3.5)","2.2","0.14"
"G644143","-0.74","0.48 (0.16-1.5)","1.7","0.2"
"G80864","0.31","1.4 (0.92-2)","2.4","0.12"
"G5592","0.0032","1 (0.41-2.5)","0","0.99"
"G441046","-0.17","0.85 (0.49-1.4)","0.37","0.54"
"G5671","-0.24","0.79 (0.33-1.9)","0.29","0.59"
"G27148","-0.024","0.98 (0.68-1.4)","0.02","0.9"
"G11314","-0.092","0.91 (0.67-1.2)","0.36","0.55"
"G84444","-0.16","0.85 (0.47-1.5)","0.29","0.59"
"G199974","-0.24","0.78 (0.3-2)","0.25","0.61"
"G57336","-0.22","0.8 (0.55-1.2)","1.2","0.27"
"G57142","0.13","1.1 (0.56-2.3)","0.13","0.72"
"G2912","0.56","1.8 (1-3)","4.3","0.039"
"G1443","0.37","1.5 (0.42-5)","0.35","0.55"
"G5238","0.15","1.2 (0.77-1.8)","0.53","0.47"
"G9605","0.029","1 (0.69-1.5)","0.02","0.89"
"G554208","-0.096","0.91 (0.43-1.9)","0.06","0.8"
"G2242","-0.22","0.8 (0.51-1.2)","0.99","0.32"
"G644444","-0.98","0.38 (0.11-1.3)","2.3","0.13"
"G55624","0.22","1.2 (0.68-2.3)","0.51","0.47"
"G440895","0.13","1.1 (0.42-3.1)","0.07","0.8"
"G23063","0.12","1.1 (0.63-2)","0.17","0.68"
"G55135","0.3","1.4 (0.99-1.8)","3.6","0.059"
"G10345","0.38","1.5 (0.73-2.9)","1.2","0.28"
"G8576","0.027","1 (0.47-2.2)","0","0.95"
"G11333","0.19","1.2 (0.65-2.3)","0.36","0.55"
"G205251","0.4","1.5 (0.95-2.4)","3","0.082"
"G441608","-0.037","0.96 (0.4-2.3)","0.01","0.94"
"G285025","0.016","1 (0.37-2.8)","0","0.97"
"G9501","-0.036","0.96 (0.73-1.3)","0.06","0.8"
"G83874","0.19","1.2 (0.84-1.7)","1.1","0.3"
"G388478","0.066","1.1 (0.61-1.9)","0.05","0.82"
"G1510","0.075","1.1 (0.9-1.3)","0.69","0.41"
"G647834","0.27","1.3 (0.91-1.9)","2.2","0.14"
"G652","-0.1","0.9 (0.49-1.7)","0.1","0.75"
"G9662","-0.38","0.68 (0.33-1.4)","1","0.3"
"G444","0.13","1.1 (0.68-1.9)","0.26","0.61"
"G9668","0.21","1.2 (0.78-2)","0.8","0.37"
"G250","0.074","1.1 (0.71-1.6)","0.12","0.73"
"G653382","0.65","1.9 (0.97-3.8)","3.5","0.06"
"G414060","-0.11","0.9 (0.51-1.6)","0.14","0.71"
"G652675","0.088","1.1 (0.68-1.8)","0.13","0.71"
"G647704","-0.27","0.77 (0.34-1.7)","0.42","0.52"
"G402562","0.12","1.1 (0.69-1.8)","0.24","0.62"
"G84868","-0.073","0.93 (0.72-1.2)","0.3","0.58"
"G114294","0.1","1.1 (0.73-1.7)","0.23","0.63"
"G649407","-0.31","0.73 (0.3-1.8)","0.46","0.5"
"G653344","-0.051","0.95 (0.59-1.5)","0.04","0.84"
"G644347","-0.13","0.88 (0.47-1.7)","0.15","0.7"
"G391723","0.054","1.1 (0.47-2.4)","0.02","0.9"
"G651730","0.69","2 (0.9-4.4)","2.9","0.09"
"G55733","0.3","1.4 (0.95-1.9)","2.8","0.094"
"G64591","-0.23","0.79 (0.34-1.8)","0.29","0.59"
"G414919","-0.0035","1 (0.62-1.6)","0","0.99"
"G29926","-0.48","0.62 (0.3-1.3)","1.6","0.2"
"G202151","-0.1","0.9 (0.43-1.9)","0.07","0.79"
"G202018","0.072","1.1 (0.75-1.5)","0.15","0.7"
"G653105","-0.21","0.81 (0.2-3.2)","0.09","0.77"
"G80168","0.095","1.1 (0.42-2.9)","0.04","0.85"
"G51761","0.1","1.1 (0.74-1.6)","0.25","0.62"
"G8520","0.23","1.3 (0.88-1.8)","1.6","0.2"
"G146802","0.024","1 (0.64-1.6)","0.01","0.92"
"G285733","0.055","1.1 (0.5-2.2)","0.02","0.89"
"G170392","0.34","1.4 (0.75-2.7)","1.1","0.29"
"G57549","0.026","1 (0.81-1.3)","0.05","0.83"
"G650116","-0.13","0.88 (0.57-1.4)","0.31","0.58"
"G400258","-0.1","0.9 (0.47-1.7)","0.09","0.76"
"G347732","-0.33","0.72 (0.36-1.4)","0.92","0.34"
"G643242","0.21","1.2 (0.44-3.4)","0.15","0.7"
"G83900","-0.66","0.52 (0.12-2.1)","0.83","0.36"
"G79628","-0.28","0.76 (0.37-1.5)","0.6","0.44"
"G4587","-0.23","0.79 (0.41-1.5)","0.48","0.49"
"G56704","-0.013","0.99 (0.78-1.2)","0.01","0.91"
"G339005","-0.53","0.59 (0.14-2.5)","0.53","0.47"
"G22877","0.051","1.1 (0.34-3.3)","0.01","0.93"
"G642101","-0.74","0.48 (0.19-1.2)","2.4","0.13"
"G147660","-0.0018","1 (0.39-2.5)","0","1"
"G155","-0.078","0.92 (0.35-2.4)","0.03","0.87"
"G7472","-0.18","0.83 (0.62-1.1)","1.5","0.22"
"G143686","-0.017","0.98 (0.73-1.3)","0.01","0.91"
"G3960","-0.027","0.97 (0.82-1.2)","0.1","0.75"
"G5082","0.039","1 (0.71-1.5)","0.04","0.84"
"G644374","-0.032","0.97 (0.38-2.4)","0","0.95"
"G390882","-0.07","0.93 (0.5-1.7)","0.05","0.82"
"G27335","-0.17","0.85 (0.47-1.5)","0.3","0.58"
"G340198","-0.018","0.98 (0.51-1.9)","0","0.96"
"G84288","0.3","1.3 (0.41-4.4)","0.24","0.62"
"G643912","-0.24","0.79 (0.4-1.5)","0.49","0.48"
"G92689","0.22","1.2 (0.83-1.9)","1.1","0.29"
"G1647","-0.064","0.94 (0.64-1.4)","0.11","0.75"
"G319100","0.22","1.2 (0.43-3.6)","0.16","0.69"
"G347730","0.2","1.2 (0.63-2.4)","0.35","0.56"
"G219578","0.079","1.1 (0.41-2.9)","0.03","0.87"
"G643598","-0.37","0.69 (0.28-1.7)","0.66","0.42"
"G9267","-0.26","0.77 (0.4-1.5)","0.61","0.44"
"G5558","0.04","1 (0.52-2.1)","0.01","0.91"
"G23171","-0.27","0.76 (0.54-1.1)","2.3","0.13"
"G11284","0.089","1.1 (0.63-1.9)","0.1","0.75"
"G347240","-0.018","0.98 (0.71-1.4)","0.01","0.91"
"G650761","0.11","1.1 (0.52-2.4)","0.08","0.78"
"G152940","0.71","2 (0.73-5.7)","1.8","0.18"
"G119","0.43","1.5 (0.39-6)","0.38","0.54"
"G649144","-0.041","0.96 (0.54-1.7)","0.02","0.89"
"G134265","0.34","1.4 (0.92-2.2)","2.4","0.12"
"G649524","0.33","1.4 (0.72-2.7)","0.96","0.33"
"G83480","0.28","1.3 (0.66-2.6)","0.63","0.43"
"G221613","-0.031","0.97 (0.62-1.5)","0.02","0.89"
"G441355","0.29","1.3 (0.64-2.8)","0.6","0.44"
"G55128","-0.1","0.9 (0.58-1.4)","0.2","0.65"
"G114038","0.15","1.2 (0.54-2.5)","0.15","0.7"
"G58506","-0.017","0.98 (0.67-1.5)","0.01","0.93"
"G7700","-0.19","0.83 (0.35-2)","0.18","0.67"
"G51177","-0.086","0.92 (0.64-1.3)","0.21","0.65"
"G25820","-0.11","0.9 (0.5-1.6)","0.14","0.71"
"G339782","-0.43","0.65 (0.34-1.2)","1.7","0.19"
"G54487","-0.24","0.79 (0.47-1.3)","0.81","0.37"
"G5604","-0.18","0.83 (0.54-1.3)","0.68","0.41"
"G651726","0.27","1.3 (0.61-2.8)","0.5","0.48"
"G644408","-0.22","0.8 (0.27-2.4)","0.16","0.69"
"G10412","-0.4","0.67 (0.41-1.1)","2.6","0.11"
"G55502","0.097","1.1 (0.88-1.4)","0.72","0.4"
"G54520","0.1","1.1 (0.77-1.6)","0.29","0.59"
"G11255","-0.32","0.73 (0.31-1.7)","0.53","0.46"
"G4718","0.0048","1 (0.64-1.6)","0","0.98"
"G22947","-0.41","0.67 (0.24-1.8)","0.62","0.43"
"G653261","-0.046","0.96 (0.65-1.4)","0.06","0.81"
"G6611","0.11","1.1 (0.76-1.6)","0.3","0.59"
"G649139","-0.2","0.82 (0.35-1.9)","0.21","0.65"
"G2733","0.31","1.4 (0.67-2.8)","0.74","0.39"
"G4784","-0.079","0.92 (0.71-1.2)","0.37","0.55"
"G285176","0.12","1.1 (0.8-1.6)","0.48","0.49"
"G440955","0.12","1.1 (0.65-2)","0.17","0.68"
"G27158","-0.45","0.64 (0.31-1.3)","1.5","0.22"
"G1395","-0.14","0.87 (0.29-2.6)","0.07","0.8"
"G84162","0.2","1.2 (0.59-2.5)","0.28","0.6"
"G400224","-0.48","0.62 (0.24-1.6)","0.97","0.32"
"G645679","0.78","2.2 (1-4.7)","4","0.044"
"G84546","0.09","1.1 (0.79-1.5)","0.3","0.59"
"G642608","0.39","1.5 (0.68-3.2)","0.98","0.32"
"G7529","0.24","1.3 (0.66-2.5)","0.52","0.47"
"G93408","0.038","1 (0.39-2.7)","0.01","0.94"
"G652472","-1","0.36 (0.1-1.3)","2.5","0.11"
"G8665","0.013","1 (0.63-1.6)","0","0.96"
"G3382","0.3","1.4 (0.75-2.5)","1","0.32"
"G4481","-0.019","0.98 (0.65-1.5)","0.01","0.93"
"G646746","0.17","1.2 (0.55-2.6)","0.19","0.67"
"G339345","0.71","2 (0.69-6.1)","1.6","0.2"
"G337879","0.51","1.7 (0.91-3)","2.7","0.1"
"G4920","0.15","1.2 (0.86-1.6)","0.92","0.34"
"G1397","0.24","1.3 (0.87-1.9)","1.5","0.21"
"G401492","0.023","1 (0.6-1.7)","0.01","0.93"
"G647651","0.4","1.5 (0.87-2.5)","2.1","0.14"
"G9189","0.029","1 (0.54-2)","0.01","0.93"
"G401089","0.072","1.1 (0.62-1.9)","0.07","0.8"
"G54676","-0.22","0.8 (0.49-1.3)","0.8","0.37"
"G57418","-0.031","0.97 (0.47-2)","0.01","0.93"
"G9620","0.034","1 (0.67-1.6)","0.02","0.88"
"G9248","0.0075","1 (0.44-2.3)","0","0.99"
"G259294","-0.99","0.37 (0.13-1.1)","3.4","0.066"
"G10312","-0.61","0.54 (0.26-1.1)","2.6","0.1"
"G645427","-0.055","0.95 (0.48-1.9)","0.02","0.88"
"G900","0.24","1.3 (0.67-2.4)","0.52","0.47"
"G5557","-0.12","0.88 (0.63-1.3)","0.48","0.49"
"G55182","-0.45","0.64 (0.26-1.6)","0.99","0.32"
"G79844","0.38","1.5 (0.87-2.5)","2","0.15"
"G646296","0.41","1.5 (0.79-2.9)","1.5","0.22"
"G79016","-0.47","0.62 (0.29-1.4)","1.4","0.23"
"G55005","0.034","1 (0.69-1.5)","0.03","0.87"
"G9064","0.049","1.1 (0.72-1.5)","0.07","0.8"
"G306","0.2","1.2 (0.96-1.5)","2.6","0.11"
"G650224","0.39","1.5 (0.95-2.3)","3","0.084"
"G8218","0.24","1.3 (0.7-2.3)","0.62","0.43"
"G725","-0.11","0.89 (0.69-1.2)","0.71","0.4"
"G85315","-0.11","0.9 (0.64-1.3)","0.37","0.54"
"G81889","0.28","1.3 (0.64-2.7)","0.56","0.45"
"G55711","-0.065","0.94 (0.65-1.3)","0.13","0.72"
"G6599","-0.045","0.96 (0.51-1.8)","0.02","0.89"
"G114897","0.56","1.8 (1.1-2.9)","5.1","0.023"
"G645113","-0.0054","0.99 (0.5-2)","0","0.99"
"G346606","1.1","3.1 (0.97-9.7)","3.7","0.055"
"G84735","-0.44","0.64 (0.28-1.5)","1.1","0.29"
"G90637","0.28","1.3 (0.83-2.1)","1.4","0.24"
"G22993","-0.075","0.93 (0.57-1.5)","0.09","0.76"
"G8330","-0.73","0.48 (0.25-0.94)","4.6","0.032"
"G439951","-0.34","0.71 (0.3-1.7)","0.59","0.44"
"G650737","-0.35","0.7 (0.39-1.3)","1.4","0.23"
"G649770","-0.27","0.77 (0.24-2.5)","0.2","0.66"
"G9587","0.082","1.1 (0.63-1.9)","0.09","0.77"
"G57140","0.055","1.1 (0.72-1.5)","0.08","0.78"
"G1186","-0.19","0.83 (0.51-1.4)","0.56","0.45"
"G862","0.26","1.3 (0.48-3.5)","0.25","0.62"
"G64641","-0.096","0.91 (0.34-2.4)","0.04","0.85"
"G643227","0.0067","1 (0.41-2.5)","0","0.99"
"G6235","-0.023","0.98 (0.45-2.1)","0","0.95"
"G8505","-0.3","0.74 (0.26-2.1)","0.32","0.57"
"G1514","0.24","1.3 (0.85-1.9)","1.4","0.25"
